,1,2,3,4,5,6,7,8,9,10,Total Average
TF-IDF P@5,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.4,0.8,0.86
Okapi BM25 P@5,0.6,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.6,0.4,0.7999999999999999
LM Using Dirichlet Smoothing P@5,1.0,1.0,1.0,1.0,1.0,0.8,0.4,0.2,0.6,0.0,0.7
TF-IDF P@10,0.9,0.9,1.0,0.9,1.0,1.0,0.7,0.8,0.5,0.6,0.8299999999999998
Okapi BM25 P@10,0.8,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.6,0.3,0.8400000000000001
LM Using Dirichlet Smoothing P@10,0.8,0.9,1.0,1.0,1.0,0.8,0.4,0.5,0.5,0.1,0.7
TF-IDF P@20,0.95,0.95,1.0,0.95,1.0,1.0,0.7,0.7,0.6,0.5,0.835
Okapi BM25 P@20,0.9,1.0,1.0,0.95,1.0,1.0,0.85,0.6,0.65,0.3,0.825
LM Using Dirichlet Smoothing P@20,0.9,0.9,1.0,1.0,0.95,0.7,0.6,0.35,0.5,0.15,0.705
TF-IDF P@30,0.9333333333333333,0.9666666666666667,1.0,0.9333333333333333,1.0,1.0,0.6333333333333333,0.6666666666666666,0.5333333333333333,0.5666666666666667,0.8233333333333335
Okapi BM25 P@30,0.9333333333333333,1.0,1.0,0.9666666666666667,1.0,1.0,0.7333333333333333,0.5666666666666667,0.5666666666666667,0.3333333333333333,0.8099999999999999
LM Using Dirichlet Smoothing P@30,0.9,0.9,1.0,1.0,0.9666666666666667,0.7333333333333333,0.6,0.4,0.4,0.26666666666666666,0.7166666666666667
TF-IDF MAP,0.769543750075016,0.8051994381986892,0.9885801024736675,0.7721739224845819,0.9397556265911431,0.7390228801376106,0.405215330671687,0.3581781434326886,0.40974597726574014,0.44883892575172446,0.663625409708255
Okapi BM25 MAP,0.8034563316029208,0.8242346667166548,0.9926637939261052,0.8598599216949785,0.9299222980216065,0.7194499452614466,0.5248741253866225,0.3493438758311598,0.48928948761030977,0.2861035175197244,0.677919796357153
LM Using Dirichlet Smoothing MAP,0.8009117108102738,0.7924824981794659,0.9954104129865032,0.8738363620013245,0.9015465163543442,0.5528766379263926,0.4823682356841552,0.27153930195236115,0.49531352355125596,0.20971332058644945,0.6375998520032526
